@relation movie_sentiment_analysis_small

@attribute PhraseId numeric
@attribute SentenceId numeric
@attribute Phrase string
@attribute Sentiment {0, 1, 2, 3, 4}
@attribute Sentiment_Description {'somewhat positive','somewhat negative',neutral,negativ,positive}

@data
68356,3468,'s potentially just as rewarding',3,'somewhat positive'
71666,3657,'comic in the film s drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties',2,neutral
42859,2071,'Executed with such gentle but insistent sincerity , with such good humor and appreciation of the daily grind that only the most hardhearted Scrooge could fail to respond',3,'somewhat positive'
7594,308,'making piffle for a long while',1,'somewhat negative'
112575,5979,'is stark , straightforward and deadly ... an unnatural calm that s occasionally shaken by ... blasts of rage , and later , violent jealousy . ',2,neutral
67018,3402,'Like the Tuck family themselves , this movie just goes on and on and on and on',0,negativ
1702,63,'than their funny accents',3,'somewhat positive'
144885,7867,'Angela Gheorghiu , Ruggero Raimondi ,',2,neutral
108972,5768,'hold my interest',3,'somewhat positive'
56925,2864,'more repetition than creativity',1,'somewhat negative'
70789,3609,'mixed up together',2,neutral
56061,2804,'American audiences',2,neutral
82145,4238,'just want to live their lives',2,neutral
146956,7999,'One of the best of a growing strain of daring films ... that argue that any sexual relationship that does nt hurt anyone and works for its participants is a relationship that is worthy of our respect .',3,'somewhat positive'
28592,1321,'only there were one for this kind of movie .',2,neutral
121423,6505,'premise and',2,neutral
18856,827,'Louis Begley s source novel',2,neutral
54847,2731,'you have to put it together yourself',2,neutral
57875,2916,'remains vividly',2,neutral
118285,6319,'the movie s various victimized audience members',0,negativ
11726,505,'by the dispassionate Gantz brothers as ordinary , pasty lumpen',1,'somewhat negative'
42905,2073,'Gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative',3,'somewhat positive'
46970,2288,'to their problems',2,neutral
45225,2197,'wo nt win many fans over the age of 12',1,'somewhat negative'
123934,6654,'labelled ` hip  , ` innovative  and ` realistic ',3,'somewhat positive'
92738,4831,'may seem',2,neutral
45949,2235,'is nt ,',2,neutral
2368,90,her,2,neutral
56810,2855,'final part',2,neutral
62431,3156,'the latter s attendant intelligence , poetry , passion , and genius',4,positive
20651,921,'the title role',2,neutral
25322,1157,'hold dear about cinema ,',3,'somewhat positive'
56851,2858,'hour and a half',2,neutral
13759,592,'the famous director s',2,neutral
92115,4794,'its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of Chinese',3,'somewhat positive'
122044,6541,'ll swear you are wet in some places and feel sand creeping in others',2,neutral
78970,4063,'The script is high on squaddie banter , low on shocks .',3,'somewhat positive'
146814,7987,'Masterpiece Theatre  type costumes',2,neutral
95305,4974,'pleasuring its audience',3,'somewhat positive'
48934,2388,'earnest textbook psychologizing',2,neutral
17171,745,'even that',2,neutral
75419,3867,'accident-prone characters',2,neutral
9044,377,'of all Hollywood fantasies',3,'somewhat positive'
79614,4099,'faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance .',0,negativ
106358,5615,'very obviously mark him as a video helmer making his feature debut',3,'somewhat positive'
117861,6294,'persistence that is sure to win viewers  hearts',3,'somewhat positive'
135922,7342,'lovely Hush',2,neutral
128331,6904,'of Billy Bob s body of work',2,neutral
27480,1262,'quirky , original',3,'somewhat positive'
129692,6975,malnourished,1,'somewhat negative'
120083,6423,'s a wise and powerful tale of race and culture forcefully told , with superb performances throughout',4,positive
22451,1013,'of ``',2,neutral
72565,3707,'for conveying the way tiny acts of kindness make ordinary life survivable',3,'somewhat positive'
51761,2553,', this is a remarkably accessible and haunting film .',4,positive
44229,2145,'ambitiously naturalistic , albeit half-baked , drama',2,neutral
7540,306,'a thriller about the ruthless social order that governs college cliques',2,neutral
78603,4045,'fun and funny in the middle , though somewhat less',3,'somewhat positive'
9359,390,'each one of these people stand out',3,'somewhat positive'
11724,505,'be revealed by the dispassionate Gantz brothers as ordinary , pasty lumpen',1,'somewhat negative'
21728,971,'to make such a worthless film',1,'somewhat negative'
119106,6366,'Personal Velocity ought to be exploring these women s inner lives',2,neutral
99900,5241,'the first film s',2,neutral
137328,7431,', this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success .',0,negativ
63482,3212,PB,2,neutral
56769,2853,'most accomplished work',4,positive
22647,1025,'to believe that something so short could be so flabby',1,'somewhat negative'
154384,8438,'made up for its rather slow beginning by drawing me into the picture',2,neutral
40086,1919,vs.,2,neutral
12752,549,'throws in too many conflicts',2,neutral
105323,5562,'An entertainment so in love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots .',1,'somewhat negative'
70082,3569,'At best , Cletis Tout might inspire a trip to the video store -- in search of a better movie experience .',1,'somewhat negative'
115850,6173,'Kevin Reynolds',2,neutral
40595,1944,'is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters',1,'somewhat negative'
79781,4110,'visually graceful',4,positive
26922,1235,'has some unnecessary parts and is kinda wrong in places .',2,neutral
92586,4824,'Auteuil s performance',2,neutral
20864,931,'about a young woman s face , and by casting an actress whose face projects that woman s doubts and yearnings',3,'somewhat positive'
26471,1214,'the film trades in',2,neutral
9236,386,universe,2,neutral
18521,812,'their story is predictable',1,'somewhat negative'
121480,6507,'keep punching up the mix',2,neutral
53146,2636,'some of the intensity that made her an interesting character to begin with',3,'somewhat positive'
144502,7845,'than in creating an emotionally complex , dramatically satisfying heroine',3,'somewhat positive'
54299,2698,converts,2,neutral
135855,7337,'are about a half dozen young Turks angling to see how many times they can work the words `` radical  or `` suck  into a sentence .',1,'somewhat negative'
30264,1404,'dutiful efforts',2,neutral
50868,2503,'lacks the detail of the book',1,'somewhat negative'
35093,1650,Returning,2,neutral
35896,1694,'about feardotcom',2,neutral
111930,5941,', frenetic , funny , even punny 6',4,positive
113335,6023,'a bit on the skinny side',1,'somewhat negative'
10130,425,'cathartic truth',2,neutral
44152,2140,'enjoyable family fare',4,positive
37481,1779,'you do nt have to',2,neutral
72244,3693,'Showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .',4,positive
55402,2765,'that Broomfield s interviewees , or even himself , will not be for much longer',2,neutral
148864,8099,'historical epics',2,neutral
30811,1432,'about what s going on',2,neutral
65940,3344,'as a harsh conceptual exercise',2,neutral
4031,152,Mediocre,1,'somewhat negative'
41276,1981,'So muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker s characteristic style .',0,negativ
145600,7914,'shows little understanding',3,'somewhat positive'
43490,2102,'extremely straight',2,neutral
92862,4837,'a strength',3,'somewhat positive'
67313,3415,'s something impressive and yet lacking about everything',2,neutral
91654,4768,'been overrun by what can only be characterized as robotic sentiment',1,'somewhat negative'
124025,6658,'the all-too-familiar saga of the contemporary single woman',1,'somewhat negative'
85728,4434,faces,2,neutral
120880,6468,'some modest amusements',3,'somewhat positive'
22266,1001,'as the filmmakers seem to think',2,neutral
86974,4509,'dumb and cheesy',0,negativ
110932,5878,'numbing experience',1,'somewhat negative'
60996,3082,'director Michael Cacoyannis displays with somber earnestness in the new adaptation of The Cherry Orchard',3,'somewhat positive'
82295,4248,'this laboratory of laughter',3,'somewhat positive'
95110,4960,'is a lame kiddie flick',1,'somewhat negative'
106302,5612,'sincere grief',2,neutral
102217,5379,'indie flick',2,neutral
46189,2248,'Statham can move beyond the crime-land action genre',2,neutral
61429,3104,'going out',2,neutral
94048,4907,'the most part a useless movie , even',1,'somewhat negative'
35330,1661,'But the second half of the movie really goes downhill .',0,negativ
9995,419,'serious drama',2,neutral
18439,809,'I liked the movie , but',3,'somewhat positive'
139833,7587,'Pal version',2,neutral
20431,912,internal,2,neutral
70559,3596,'her childlike smile',3,'somewhat positive'
50670,2491,'its course',2,neutral
136196,7362,'Your nightmares , on the other hand ,',1,'somewhat negative'
154301,8432,'get into heaven',3,'somewhat positive'
37236,1768,'Special P.O.V. camera mounts',2,neutral
109975,5824,'him sing the lyrics to `` Tonight',2,neutral
29016,1344,'with hyper-artificiality',2,neutral
93452,4872,'prevent itself from succumbing to its own bathos',2,neutral
67371,3418,'MGM s shelf',2,neutral
122435,6565,'is nt a comparison to reality',2,neutral
120106,6424,'the effects , boosted to the size of a downtown hotel ,',2,neutral
75720,3881,Snowball,2,neutral
43410,2099,60-second,2,neutral
99614,5226,'are problems with this film that even 3 Oscar winners ca nt overcome',1,'somewhat negative'
151370,8253,'that perfectly captures the wonders and worries of childhood',3,'somewhat positive'
77112,3966,'previously gave us `` The Skulls ',2,neutral
25300,1156,'occur while waiting for things to happen .',2,neutral
45406,2206,grumble,1,'somewhat negative'
123120,6607,'the two are',2,neutral
46684,2272,'sinister , menacing atmosphere',2,neutral
141706,7687,'The Paradiso s rusted-out ruin and ultimate collapse during the film s final -LRB- restored -RRB- third',2,neutral
139642,7575,endorsement,2,neutral
46320,2253,'for our lives',2,neutral
123981,6656,'video work',2,neutral
13634,584,'will happen after Greene s story ends',2,neutral
128,4,'ethnography and',2,neutral
17287,750,'Loyal Order',2,neutral
10053,423,'s a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior',1,'somewhat negative'
81929,4227,'that would be Reno -RRB-',2,neutral
146437,7966,'Some movies were made for the big screen , some for the small screen , and',2,neutral
98226,5148,histrionic,1,'somewhat negative'
108286,5730,'A laughable -- or rather ,',2,neutral
3362,126,'sweet , even delectable diversion',3,'somewhat positive'
136959,7408,'as an intellectual exercise -- an unpleasant debate that s been given the drive of a narrative and that s been acted out --',1,'somewhat negative'
82092,4235,'no new `` A Christmas Carol ',2,neutral
103387,5451,'around this movie directionless',1,'somewhat negative'
97465,5097,Criterion,2,neutral
91571,4765,'tell a story about the Vietnam War',2,neutral
86846,4499,'Murphy s expert comic timing',3,'somewhat positive'
74825,3835,'the filmmaking',2,neutral
81757,4217,'warm and charming',4,positive
150696,8214,'of anti-Semitism ever seen on screen',1,'somewhat negative'
71645,3655,cultist,2,neutral
93128,4852,'I honestly never knew what the hell was coming next',3,'somewhat positive'
148715,8091,'Haneke s script -LRB- from Elfriede Jelinek s novel -RRB- is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending .',0,negativ
66085,3352,'Stallion of the Cimarron is a winner .',4,positive
125085,6722,'The direction ,',2,neutral
80289,4137,'in when we should be playing out',2,neutral
150340,8188,Steinis,2,neutral
30300,1407,'uses the last act to reel in the audience',3,'somewhat positive'
112471,5972,'in the characters you see',3,'somewhat positive'
53318,2646,'The urban landscapes are detailed down to the signs on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative',3,'somewhat positive'
100066,5250,'accessible for a non-narrative feature',2,neutral
35460,1668,'leave the theater wondering why these people mattered',2,neutral
31858,1492,primarily,2,neutral
31344,1466,'vapid vehicle',1,'somewhat negative'
41700,2007,'The sequel is everything the original was not : contrived , overblown and tie-in ready',2,neutral
113719,6044,'a few crucial things',2,neutral
103103,5436,'a wild-and-woolly , wall-to-wall good time',4,positive
17638,763,'a domestic unit finding their way to joy',3,'somewhat positive'
108829,5761,'as they love themselves',2,neutral
91059,4736,'is entirely',2,neutral
114627,6099,'gratingly unfunny groaner',0,negativ
137011,7409,'nothing good can happen',1,'somewhat negative'
125027,6718,'were subtler',2,neutral
82156,4239,'amiable and',2,neutral
106854,5643,'younger lad',3,'somewhat positive'
145491,7909,'Sparkles in its deft portrait of Tinseltown s seasoned veterans of gossip , wealth',3,'somewhat positive'
103394,5451,'the rollicking dark humor so necessary',3,'somewhat positive'
151680,8275,singer-turned,2,neutral
134167,7241,'one more time',2,neutral
119705,6403,'McKay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device',1,'somewhat negative'
26266,1203,comment,2,neutral
91172,4742,haphazardness,1,'somewhat negative'
107982,5713,'This is unusual , food-for-thought cinema that s as entertaining as it is instructive .',3,'somewhat positive'
104698,5530,exceeding,2,neutral
34110,1602,'s not clear',1,'somewhat negative'
148515,8081,'Steven Soderbergh s digital video experiment',2,neutral
145190,7889,'is nt fake fun',2,neutral
55556,2774,wannabe-hip,1,'somewhat negative'
17441,756,'keep it',2,neutral
52930,2623,'with him',2,neutral
8983,374,'to make up for the ones that do nt come off',3,'somewhat positive'
79404,4090,'its observation',2,neutral
5608,223,'an overripe episode',2,neutral
68864,3499,'If Damon and Affleck attempt another Project Greenlight , next time out they might try paying less attention to the miniseries and more attention to the film it is about .',1,'somewhat negative'
22689,1027,'in the worst elements of all of them',1,'somewhat negative'
141772,7691,'you will probably like it .',4,positive
31494,1474,'an ironic manifestation',2,neutral
88511,4599,'prim exterior',2,neutral
110869,5875,', true story or not ,',2,neutral
81423,4198,'Dog Soldiers does nt transcend genre --',2,neutral
135046,7290,'to Jeanette',2,neutral
107972,5712,'as if the inmates have actually taken over the asylum',2,neutral
9161,382,'that s neither original nor terribly funny',1,'somewhat negative'
139089,7540,'Made for teens and reviewed as such',2,neutral
61744,3120,'because it seems obligatory',2,neutral
74804,3834,'the absurdity of the situation in a well-balanced fashion',3,'somewhat positive'
78823,4056,'with the body',2,neutral
105727,5581,'that created it',2,neutral
63909,3233,'lackluster at best',0,negativ
81583,4207,'s a bargain-basement European pickup',0,negativ
114493,6090,'after viewing this one',2,neutral
68592,3482,'Insomnia is one of the year s best films',4,positive
93851,4896,'is nt that Stealing Harvard is a horrible movie -- if only it were that grand a failure',1,'somewhat negative'
11931,511,'director Mark Romanek s',2,neutral
143349,7781,'with a mixture of deadpan cool , wry humor and just the measure',3,'somewhat positive'
12536,537,'here leaves a lot to be desired',1,'somewhat negative'
149066,8110,'Visually sumptuous but intellectually stultifying',2,neutral
123473,6629,'The rest of the film ... is dudsville .',0,negativ
40956,1963,'S \\* H ',2,neutral
152454,8319,'no clear picture of who killed Bob Crane',2,neutral
1150,42,'French shocker',3,'somewhat positive'
152796,8339,'Coupling disgracefully written dialogue with flailing bodily movements that substitute for acting , Circuit is the awkwardly paced soap opera-ish story .',1,'somewhat negative'
211,7,'plodding mess',0,negativ
888,33,Ice,2,neutral
74858,3838,'The movie s thesis -- elegant technology for the masses -- is surprisingly refreshing .',3,'somewhat positive'
31275,1461,'long on glamour and short on larger moralistic consequences',2,neutral
128970,6935,'the thin veneer',1,'somewhat negative'
124347,6678,'comin ',2,neutral
134432,7252,'fifth beer-soaked film',1,'somewhat negative'
4831,185,'brief 42 minutes',2,neutral
138320,7487,'need the lesson in repugnance',2,neutral
93990,4904,'cinematic fluidity and sense',3,'somewhat positive'
121841,6529,'the predictability of bland comfort food appeals to you',2,neutral
151576,8268,'The film s plot may be shallow , but you ve never seen the deep like you see it in these harrowing surf shots .',3,'somewhat positive'
98982,5190,'dares , injuries , etc.',2,neutral
104987,5546,'some blondes , -LRB- Diggs -RRB-',2,neutral
64501,3265,'Whatever about warning kids about the dangers of ouija boards , someone should dispense the same advice to film directors .',2,neutral
137288,7428,', ivans xtc .',2,neutral
144611,7850,'know the band or the album s songs by heart',3,'somewhat positive'
21362,955,'the percussion rhythm',2,neutral
31170,1455,'hopeful or optimistic',4,positive
43177,2086,'is a harrowing movie about how parents know where all the buttons are , and how to push them .',2,neutral
88885,4618,'of titles',2,neutral
7076,285,'sharp as the original',4,positive
103155,5441,'needed so badly but what is virtually absent',0,negativ
3431,128,'the details',2,neutral
135426,7314,'Resurrection is nt exactly quality cinema',1,'somewhat negative'
32785,1536,'the way to striking a blow for artistic integrity',3,'somewhat positive'
37673,1791,'times when the film s reach exceeds its grasp',1,'somewhat negative'
119778,6406,'Often shocking but',2,neutral
95469,4986,'in New York and L.A.',2,neutral
140112,7603,'Too many improbabilities and rose-colored situations temper what could ve been an impacting film .',2,neutral
14515,625,'the lint',2,neutral
55947,2798,'It s Pauly Shore awful .',0,negativ
28638,1324,'The Four Feathers',2,neutral
115095,6131,'a fairly slow paced , almost humdrum approach to character development',1,'somewhat negative'
5335,211,Jason,2,neutral
36737,1741,'it s not that funny -- which is just generally insulting .',1,'somewhat negative'
107839,5703,'Canadian filmmaker Gary Burns ',2,neutral
31431,1470,'is it .',2,neutral
32905,1541,'a good simmer',3,'somewhat positive'
93622,4882,'Blair and',2,neutral
98923,5188,'the heavy doses of weird performances and direction',2,neutral
140431,7620,flesh-and-blood,2,neutral
127292,6846,'sucks you in and',3,'somewhat positive'
42487,2048,'bad animation and',1,'somewhat negative'
130779,7047,'A rather tired exercise in nostalgia .',1,'somewhat negative'
130998,7060,'on a long patch of black ice',2,neutral
124039,6659,'there will be plenty of female audience members drooling over Michael Idemoto as Michael',3,'somewhat positive'
36303,1715,'fear and frustration',2,neutral
148405,8075,'gives a portrayal as solid and as perfect as his outstanding performance as Bond in Die Another Day',4,positive
155403,8506,'Like the chilled breath of oral storytelling frozen onto film',3,'somewhat positive'
105856,5586,'is 170 minutes long',2,neutral
51075,2514,'-LRB- Toback s -RRB- fondness for fancy split-screen , stuttering editing and pompous references to Wittgenstein and Kirkegaard',2,neutral
152974,8351,'An intimate contemplation of two marvelously',4,positive
113566,6037,'Intacto s luckiest stroke',3,'somewhat positive'
84111,4344,'puts itself squarely in the service of the lovers who inhabit it',3,'somewhat positive'
45877,2231,'unlikable , uninteresting , unfunny',1,'somewhat negative'
53285,2645,'attempts to mine laughs',1,'somewhat negative'
108478,5740,'is balanced by a rich visual clarity and deeply',3,'somewhat positive'
148963,8104,'has intentionally left college or was killed',1,'somewhat negative'
8029,329,'relative letdown .',0,negativ
154929,8476,'more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of Run Lola Run',1,'somewhat negative'
154329,8434,'to shock throughout the film',1,'somewhat negative'
131053,7062,'as cleverly plotted as The Usual Suspects',3,'somewhat positive'
80367,4141,'I ca nt say this enough :',2,neutral
42384,2043,'a comedy , a romance , a fairy tale , or a drama',2,neutral
3697,139,'even if it were nt silly',2,neutral
92632,4826,'unblinkingly pure as The Hours',3,'somewhat positive'
100962,5302,'modern cinema',2,neutral
12574,540,meet,2,neutral
21974,985,'the filmmakers could dredge up',1,'somewhat negative'
21613,966,'Ferrera and',2,neutral
72448,3702,'emerges as a numbingly dull experience',0,negativ
154994,8480,'our infantilized culture that is nt entirely infantile',1,'somewhat negative'
36968,1751,', relatively lightweight commercial fare such as Notting Hill to commercial fare with real thematic heft .',3,'somewhat positive'
73357,3748,'spell things',2,neutral
11205,482,'homage pokepie hat , but as a character he s dry , dry , dry',1,'somewhat negative'
148807,8095,'appeal to anyone willing to succumb',2,neutral
9739,405,'Barbershop  is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story .',4,positive
69012,3506,'Such a premise is ripe for all manner of lunacy ,',2,neutral
149838,8158,'for a science-fiction horror film',2,neutral
109917,5822,moodiness,1,'somewhat negative'
68526,3477,blows,1,'somewhat negative'
70600,3599,'its time',2,neutral
102359,5387,'It s mildly interesting to ponder the peculiar American style of justice that plays out here',2,neutral
81083,4178,'for its charms',2,neutral
78203,4023,'seem twice as long',0,negativ
23074,1045,'the filmmakers are asking of us , is to believe in something that is improbable .',2,neutral
4245,161,scratch,2,neutral
105535,5572,'an overly-familiar set',1,'somewhat negative'
85243,4407,'you look at the list of movies starring Ice-T in a major role',2,neutral
137755,7455,'looking over the outdated clothes and plastic knickknacks at your neighbor s garage sale',1,'somewhat negative'
135783,7335,'Nakata s',2,neutral
146104,7944,'Tim McCann s Revolution No. 9',2,neutral
69618,3540,'is weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil',1,'somewhat negative'
43473,2101,'loses its soul to Screenwriting For Dummies conformity',0,negativ
140471,7623,'manage to be spectacularly outrageous',3,'somewhat positive'
143886,7808,'be as palatable as intended',2,neutral
133766,7217,'of incident',2,neutral
140785,7638,'Further sad evidence that Tom Tykwer , director of the resonant and sense-spinning Run Lola Run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap .',0,negativ
101390,5330,'go out on a limb',2,neutral
406,14,'good sense',3,'somewhat positive'
89274,4640,'disintegrates into a dreary , humorless soap opera',0,negativ
131433,7081,'One of the oddest and most inexplicable sequels in movie history .',2,neutral
51712,2550,'way to tolerate this insipid , brutally clueless film',1,'somewhat negative'
7591,308,Allen,2,neutral
111711,5930,'soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .',3,'somewhat positive'
17773,771,entertainingly,3,'somewhat positive'
58505,2948,'recommended -- as visually bland as a dentist s waiting room , complete with soothing Muzak',0,negativ
151293,8248,'typically observant',2,neutral
131903,7111,'languid romanticism',2,neutral
78353,4031,'are fascinated by the mere suggestion of serial killers',3,'somewhat positive'
6899,276,finding,2,neutral
37728,1795,'too amateurish and',1,'somewhat negative'
130118,7007,'does an established filmmaker so ardently waste viewers  time with a gobbler like this',1,'somewhat negative'
61939,3132,waster,2,neutral
129008,6938,'spiced with the intrigue of academic skullduggery and politics',3,'somewhat positive'
113453,6029,'deeply touching melodrama',4,positive
92502,4818,'of the modern day Hong Kong action film',2,neutral
49177,2403,Circuit,2,neutral
54420,2704,', really good',4,positive
115059,6129,'a Hollywood romance',2,neutral
78349,4031,'the serial killer cards',2,neutral
94445,4930,'It s not a bad plot ; but',2,neutral
71362,3640,'vehicle that even he seems embarrassed to be part of .',3,'somewhat positive'
19376,851,'Godard s',2,neutral
128155,6895,'self-conscious sense',2,neutral
89248,4639,'humor and a heartfelt conviction',3,'somewhat positive'
139963,7593,'I hate myself most mornings .',2,neutral
16629,717,'captured on film',2,neutral
88948,4622,'Try Hell House , which documents the cautionary Christian spook-a-rama of the same name .',2,neutral
103752,5470,'the only thing that I ever saw that was written down',2,neutral
31882,1493,'Starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and Bruce Willis with a scar',1,'somewhat negative'
101104,5313,'by Antwone Fisher based on the book by Antwone Fisher',2,neutral
17012,738,sell,2,neutral
22020,988,'would be a total washout',1,'somewhat negative'
82180,4241,', My Sweet has so many flaws it would be easy for critics to shred it .',0,negativ
48544,2371,'Harvey Weinstein s',2,neutral
146106,7944,'Tim McCann s',2,neutral
43609,2111,'uncomfortably real',3,'somewhat positive'
127155,6838,'co-writer Jim Taylor',2,neutral
146912,7995,'looked like crap , so crap is what I was expecting .',0,negativ
34912,1642,sporadically,2,neutral
96570,5045,'There are so few films about the plight of American Indians in modern America that Skins comes as a welcome , if downbeat , missive from a forgotten front .',3,'somewhat positive'
135821,7336,'an exciting , clever story',4,positive
6637,264,'bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact',1,'somewhat negative'
15600,668,'poetically states at one point in this movie that we `` do nt care about the truth .',1,'somewhat negative'
133055,7176,'the comic heights it obviously desired',2,neutral
68213,3463,'it s far too slight and introspective to appeal to anything wider than a niche audience .',1,'somewhat negative'
84084,4343,'each seeing himself in the other , neither liking what he sees',2,neutral
92562,4822,'the intentionally low standards',1,'somewhat negative'
26531,1217,'communal film experiences',2,neutral
86172,4460,LaPaglia,2,neutral
122466,6567,intervention,2,neutral
24609,1120,'to say',2,neutral
34381,1614,juvenile,1,'somewhat negative'
108578,5746,'primal fears',2,neutral
133776,7217,'feels a bit',2,neutral
87309,4529,'At the end , when the now computerized Yoda finally reveals his martial artistry , the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside .',3,'somewhat positive'
117194,6253,'Egoyan s work often elegantly considers various levels of reality and uses shifting points of view , but here he has constructed a film so labyrinthine that it defeats his larger purpose',1,'somewhat negative'
128634,6919,'the kind of under-inspired , overblown enterprise that gives Hollywood sequels a bad name',1,'somewhat negative'
119200,6371,'ve looked like as a low-budget series on a UHF channel',0,negativ
13994,603,'and director Otar Iosseliani s',2,neutral
60451,3052,', plodding picture',1,'somewhat negative'
14422,621,nervy,2,neutral
135054,7290,'so unabashedly Canadian , not afraid to risk American scorn or',3,'somewhat positive'
76372,3922,'a rather toothless take on a hard young life',2,neutral
79513,4094,tartly,1,'somewhat negative'
61915,3131,'barbed enough for older viewers',2,neutral
14108,608,'of Germany s democratic Weimar Republic',2,neutral
139243,7547,'this idea is `` new ',2,neutral
99902,5241,'lovely flakiness',3,'somewhat positive'
136549,7383,'is often the case with ambitious , eager first-time filmmakers',2,neutral
118555,6334,'in this shower of black-and-white psychedelia',2,neutral
132625,7152,'City by the Sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of De Niro , McDormand and the other good actors in the cast',0,negativ
37487,1780,'anyone who is not a character in this movie',2,neutral
132529,7146,'by her man',2,neutral
88393,4593,'is bravado -- to take an entirely stale concept and push it through the audience s meat grinder one more time .',2,neutral
149847,8158,piecing,2,neutral
144032,7817,'this -RRB- meandering and pointless French coming-of-age import from writer-director Anne-Sophie Birot',0,negativ
107285,5669,'s a solid movie about people whose lives are anything but',3,'somewhat positive'
148863,8099,decades-spanning,2,neutral
28242,1300,'cruel , misanthropic stuff',1,'somewhat negative'
102650,5406,'between art and commerce',2,neutral
137838,7459,'A passable romantic comedy ,',2,neutral
66,2,This,2,neutral
126754,6814,'the dark areas',2,neutral
